INFO:root:Epoch 89/350	 Time: 18.799	 Total Loss: 0.000
INFO:root:Epoch 90/350	 Time: 18.813	 Total Loss: 0.000
INFO:root:Epoch 91/350	 Time: 18.925	 Total Loss: 0.000
INFO:root:Epoch 92/350	 Time: 18.810	 Total Loss: 0.000
INFO:root:Epoch 93/350	 Time: 18.812	 Total Loss: 0.000
INFO:root:Epoch 94/350	 Time: 18.817	 Total Loss: 0.000
INFO:root:Epoch 95/350	 Time: 18.682	 Total Loss: 0.000
INFO:root:Epoch 96/350	 Time: 18.757	 Total Loss: 0.000
INFO:root:Epoch 97/350	 Time: 18.869	 Total Loss: 0.000
INFO:root:Epoch 98/350	 Time: 18.801	 Total Loss: 0.000
INFO:root:Epoch 99/350	 Time: 18.829	 Total Loss: 0.000
INFO:root:Epoch 100/350	 Time: 18.755	 Total Loss: 0.000
INFO:root:Epoch 101/350	 Time: 18.722	 Total Loss: 0.000
INFO:root:Epoch 102/350	 Time: 18.842	 Total Loss: 0.000
INFO:root:Epoch 103/350	 Time: 19.330	 Total Loss: 0.000
INFO:root:Epoch 104/350	 Time: 18.865	 Total Loss: 0.000
INFO:root:Epoch 105/350	 Time: 19.196	 Total Loss: 0.000
INFO:root:Epoch 106/350	 Time: 18.831	 Total Loss: 0.000
INFO:root:Epoch 107/350	 Time: 18.877	 Total Loss: 0.000
INFO:root:Epoch 108/350	 Time: 18.846	 Total Loss: 0.000
INFO:root:Epoch 109/350	 Time: 19.453	 Total Loss: 0.000
INFO:root:Epoch 110/350	 Time: 18.818	 Total Loss: 0.000
INFO:root:Epoch 111/350	 Time: 18.900	 Total Loss: 0.000
INFO:root:Epoch 112/350	 Time: 18.801	 Total Loss: 0.000
INFO:root:Epoch 113/350	 Time: 18.821	 Total Loss: 0.000
INFO:root:Epoch 114/350	 Time: 18.826	 Total Loss: 0.000
INFO:root:Epoch 115/350	 Time: 18.889	 Total Loss: 0.000
INFO:root:Epoch 116/350	 Time: 18.833	 Total Loss: 0.000
INFO:root:Epoch 117/350	 Time: 18.813	 Total Loss: 0.000
INFO:root:Epoch 118/350	 Time: 18.848	 Total Loss: 0.000
INFO:root:Epoch 119/350	 Time: 18.775	 Total Loss: 0.000
INFO:root:Epoch 120/350	 Time: 19.381	 Total Loss: 0.000
INFO:root:Epoch 121/350	 Time: 18.843	 Total Loss: 0.000
INFO:root:Epoch 122/350	 Time: 18.851	 Total Loss: 0.000
INFO:root:Epoch 123/350	 Time: 18.853	 Total Loss: 0.000
INFO:root:Epoch 124/350	 Time: 18.774	 Total Loss: 0.000
INFO:root:Epoch 125/350	 Time: 18.704	 Total Loss: 0.000
INFO:root:Epoch 126/350	 Time: 18.891	 Total Loss: 0.000
INFO:root:Epoch 127/350	 Time: 18.796	 Total Loss: 0.000
INFO:root:Epoch 128/350	 Time: 18.775	 Total Loss: 0.000
INFO:root:Epoch 129/350	 Time: 18.828	 Total Loss: 0.000
INFO:root:Epoch 130/350	 Time: 19.388	 Total Loss: 0.000
INFO:root:Epoch 131/350	 Time: 18.898	 Total Loss: 0.000
INFO:root:Epoch 132/350	 Time: 19.251	 Total Loss: 0.000
INFO:root:Epoch 133/350	 Time: 18.708	 Total Loss: 0.000
INFO:root:Epoch 134/350	 Time: 18.844	 Total Loss: 0.000
INFO:root:Epoch 135/350	 Time: 18.747	 Total Loss: 0.000
INFO:root:Epoch 136/350	 Time: 19.417	 Total Loss: 0.000
INFO:root:Epoch 137/350	 Time: 19.324	 Total Loss: 0.000
INFO:root:Epoch 138/350	 Time: 19.425	 Total Loss: 0.000
INFO:root:Epoch 139/350	 Time: 18.755	 Total Loss: 0.000
INFO:root:Epoch 140/350	 Time: 19.376	 Total Loss: 0.000
INFO:root:Epoch 141/350	 Time: 19.383	 Total Loss: 0.000
INFO:root:Epoch 142/350	 Time: 18.750	 Total Loss: 0.000
INFO:root:Epoch 143/350	 Time: 18.800	 Total Loss: 0.000
INFO:root:Epoch 144/350	 Time: 19.344	 Total Loss: 0.000
INFO:root:Epoch 145/350	 Time: 18.672	 Total Loss: 0.000
INFO:root:Epoch 146/350	 Time: 18.831	 Total Loss: 0.000
INFO:root:Epoch 147/350	 Time: 19.356	 Total Loss: 0.000
INFO:root:Epoch 148/350	 Time: 18.791	 Total Loss: 0.000
INFO:root:Epoch 149/350	 Time: 18.793	 Total Loss: 0.000
INFO:root:Epoch 150/350	 Time: 18.780	 Total Loss: 0.000
INFO:root:Epoch 151/350	 Time: 18.787	 Total Loss: 0.000
INFO:root:Epoch 152/350	 Time: 18.816	 Total Loss: 0.000
INFO:root:Epoch 153/350	 Time: 18.825	 Total Loss: 0.000
INFO:root:Epoch 154/350	 Time: 18.694	 Total Loss: 0.000
INFO:root:Epoch 155/350	 Time: 18.848	 Total Loss: 0.000
INFO:root:Epoch 156/350	 Time: 19.209	 Total Loss: 0.000
INFO:root:Epoch 157/350	 Time: 19.367	 Total Loss: 0.000
INFO:root:Epoch 158/350	 Time: 19.424	 Total Loss: 0.000
INFO:root:Epoch 159/350	 Time: 18.778	 Total Loss: 0.000
INFO:root:Epoch 160/350	 Time: 18.821	 Total Loss: 0.000
INFO:root:Epoch 161/350	 Time: 19.419	 Total Loss: 0.000
INFO:root:Epoch 162/350	 Time: 19.346	 Total Loss: 0.000
INFO:root:Epoch 163/350	 Time: 18.742	 Total Loss: 0.000
INFO:root:Epoch 164/350	 Time: 18.953	 Total Loss: 0.000
INFO:root:Epoch 165/350	 Time: 19.148	 Total Loss: 0.000
INFO:root:Epoch 166/350	 Time: 18.851	 Total Loss: 0.000
INFO:root:Epoch 167/350	 Time: 18.843	 Total Loss: 0.000
INFO:root:Epoch 168/350	 Time: 19.144	 Total Loss: 0.000
INFO:root:Epoch 169/350	 Time: 19.118	 Total Loss: 0.000
